COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
111,3854.36,4087.69,4204.62,4412.82,4626.67,4684.62,4472.31,4431.28,4145.13,4510.26,4877.44,4507.18,4384.1,4605.64,1700,1692,6.351,0,0,0,0
112,3853.33,4084.1,4204.62,4406.67,4577.44,4696.41,4476.92,4434.36,4149.74,4523.08,4878.46,4504.62,4380,4606.15,1701,1692,6.36,0,0,0,0
113,3859.49,4093.33,4208.72,4410.77,4577.95,4690.77,4474.36,4427.69,4143.08,4517.95,4877.95,4504.62,4382.56,4609.23,1701,1691,6.368,0,0,0,0
114,3860,4097.44,4208.72,4418.97,4627.69,4670.26,4468.72,4423.08,4133.33,4503.59,4875.38,4506.15,4380.51,4606.15,1701,1691,6.375,0,0,0,0
115,3852.31,4085.64,4203.59,4413.33,4618.46,4674.87,4474.87,4430.77,4138.46,4508.72,4875.9,4501.03,4377.95,4602.56,1701,1690,6.383,0,0,0,0
116,3853.33,4081.03,4204.62,4407.69,4565.13,4691.79,4481.03,4435.9,4145.13,4512.31,4869.74,4493.33,4375.9,4604.1,1702,1690,6.39,0,0,0,0
117,3856.41,4085.64,4207.69,4410.77,4568.72,4680.51,4474.87,4428.21,4136.41,4498.46,4867.18,4491.79,4374.87,4605.64,1700,1689,6.398,0,0,0,0
118,3850.26,4082.56,4203.59,4409.23,4606.67,4667.69,4468.21,4422.56,4125.64,4485.64,4866.67,4489.74,4371.28,4603.08,1701,1691,6.406,0,0,0,0
119,3854.87,4083.08,4203.59,4409.23,4606.67,4680,4477.95,4433.33,4136.41,4490.77,4860,4490.77,4366.15,4602.56,1701,1690,6.415,0,0,0,0
120,3866.15,4094.87,4215.38,4413.85,4575.9,4694.87,4488.72,4449.23,4155.38,4511.79,4868.72,4503.08,4379.49,4613.33,1699,1691,6.423,0,0,0,0
121,3863.08,4098.46,4214.36,4414.87,4586.15,4688.21,4482.56,4438.46,4151.28,4511.28,4881.03,4503.59,4387.18,4615.9,1700,1690,6.43,0,0,0,0
122,3854.87,4089.74,4201.03,4412.31,4624.62,4676.92,4469.23,4417.95,4139.49,4489.23,4872.31,4489.23,4373.85,4605.13,1700,1690,6.438,0,0,0,0
123,3863.08,4091.28,4209.23,4412.82,4602.56,4684.1,4474.87,4431.28,4150.77,4501.03,4876.92,4494.87,4381.03,4612.31,1700,1690,6.446,0,0,0,0
124,3880,4103.59,4224.1,4417.44,4561.03,4692.31,4486.67,4454.87,4164.1,4534.87,4902.05,4515.38,4410.26,4634.36,1700,1689,6.454,0,0,0,0
125,3877.44,4104.1,4215.38,4416.41,4580,4681.54,4478.46,4442.05,4150.77,4524.62,4890.77,4512.31,4402.05,4636.41,1700,1690,6.462,0,0,0,0
